table_id,state_code,state_name,category,type,description,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
coal-ks-68,KS,Kansas,production,Coal,Coal production,Billion Btu,18923,14150,19498,24911,26914,27916,23910,24208,27021,27980,34671,24528,26147,23002,14282,9704,12090,18024,25496,16371,17102,29198,29671,28732,29151,20978,29480,40093,15705,18431,17410,10056,8855,8234,6945,6861,5592,8090,7458,8957,4316,3697,4351,3307,1665,3955,9591,9313,5139,4296,3069,840,388,541,1474,4387,617,0,0,0,0
coal-ky-104,KY,Kentucky,production,Coal,Coal production,Billion Btu,1586449,1493944,1638552,1832508,1963792,2037285,2212066,2380970,2400532,2597581,3017565,2869275,2910525,3057325,3248065,3440044,3479209,3513197,3266591,3639650,3703362,3960803,3760412,3285634,3997384,3831439,3877067,4152114,4011842,4220066,4414362,4054871,4112739,3962427,4107496,3910027,3860466,3940216,3832682,3502887,3270194,3326940,3098985,2809836,2845496,2973897,3000879,2872880,2927900,2616139,2556093,2623804,2193276,1940060,1869335,1486019,1041121,1015108,955471,852990,571089
coal-la-83,LA,Louisiana,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2825,30942,37765,40069,40917,43844,43663,45042,43348,47719,50748,44366,48648,43535,41115,50408,50817,51958,54642,51659,61534,57533,42871,54763,50481,54346,52440,53041,38079,35541,46879,38499,27892,20436,21251,9438
coal-ma-55,MA,Massachusetts,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-md-74,MD,Maryland,production,Coal,Coal production,Billion Btu,18933,19161,20781,29412,28754,30627,30931,33032,36626,34627,40879,41613,41512,40494,51320,59091,65524,70349,69757,62269,89500,107311,93820,79120,100584,74667,97659,99059,82061,84480,88005,95423,83956,84741,92886,94134,103074,103616,100208,94392,110587,111689,125682,124609,129130,126671,122170,53756,65597,53448,58798,65871,54088,45290,46194,45587,37859,42804,30464,34661,27404
coal-me-103,ME,Maine,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-mi-104,MI,Michigan,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-mn-82,MN,Minnesota,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-mo-72,MO,Missouri,production,Coal,Coal production,Billion Btu,61027,62040,61154,67045,68692,75259,75640,78047,67679,69706,93905,85226,96102,90591,89431,107200,116535,124884,111454,127372,108671,98847,109485,101740,137916,113903,96700,88550,88035,70849,55957,48500,61054,14138,19038,12532,15711,8755,8253,8621,9475,8022,5310,11380,12385,12954,8549,5290,5413,9626,9816,10075,9197,9101,8206,3178,5125,5321,5654,4227,3432
coal-ms-104,MS,Mississippi,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,10161,6804,25966,37626,36619,36231,38844,36159,28807,35109,41586,28822,30537,37197,39072,34528,32349,32019,31979,28423,26576
coal-mt-56,MT,Montana,production,Coal,Coal production,Billion Btu,5587,6622,6818,6122,6176,6497,7479,6622,9264,18385,61526,126087,146739,191993,256114,397118,471445,487861,476422,585822,535551,605809,499797,524278,591908,597846,610004,617562,693998,677753,678342,688453,704046,649268,752552,712989,689154,740072,773038,741898,696895,708173,676052,665901,721570,726845,754967,778069,794235,703719,797035,746650,660148,753246,790673,746222,572787,624772,684031,608890,469076
coal-nc-100,NC,North Carolina,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-nd-81,ND,North Dakota,production,Coal,Coal production,Billion Btu,33074,35706,35798,31423,34541,35785,46408,54437,58773,61615,73862,79573,86869,93710,100561,110869,144839,157574,184269,199468,223718,237961,235316,251138,286337,351049,335150,328641,389431,386817,387651,386837,413528,417344,422529,395209,393533,389550,392568,407886,408363,398430,401823,402709,392966,392566,397481,385056,387403,391800,377669,367624,366826,369479,389673,392183,399856,394022,399835,361946,364262
coal-ne-61,NE,Nebraska,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-nh-62,NH,New Hampshire,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-nj-93,NJ,New Jersey,production,Coal,Coal production,Billion Btu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal-nm-66,NM,New Mexico,production,Coal,Coal production,Billion Btu,5518,7707,12664,36384,55539,60085,51536,64780,64144,83636,137698,152924,154290,164714,168496,157541,175430,200268,232636,292444,345071,355602,375420,381364,397917,420410,404083,359625,407855,444915,454214,400542,457758,535318,533893,507955,452294,505578,534746,547678,513357,554846,543314,490629,510869,536980,485090,455522,475817,466100,381448,405952,409050,400228,400158,357525,246549,257710,200179,268307,191349
