state_code,year,All Industry Total - Dollars,Consumption - Billion Btu,Fossil Fuel Consumption - Billion Btu,Fossil Fuel Production - Billion Btu,GDP per Capita - Dollars,Nuclear Consumption - Billion Btu,Population - Individual Person,Production - Billion Btu,Renewable Consumption - Billion Btu,Renewable Production - Billion Btu,Total Expenditure - Dollars
OK,2020,1.90064E+11,1579183,1382548,977388,48004,0,3959353,4545564,337243,642669,13106000000
OR,2020,2.47967E+11,982979,594842,0,58521,0,4237256,453865,470322,901127,12066000000
PA,2020,7.71613E+11,3412995,3109551,940281,59343,799036,13002700,9492059,217983,361584,37545000000
RI,2020,60771000000,175780,169397,0,55378,0,1097379,11420,13932,22282,3140000000
SC,2020,2.4536E+11,1533340,949006,0,47937,571711,5118425,732412,174026,321402,16657000000
SD,2020,55681000000,396626,232542,5958,62798,0,886667,268394,171148,366825,3714000000
TN,2020,3.79007E+11,2039089,1233986,3316,54842,383098,6910840,591321,212085,376611,21401000000
TX,2020,1.78993E+12,13480760,11767097,10372281,61414,432703,29145505,23329131,1150162,2059665,1.08196E+11
US,2020,2.10605E+13,92862342,73054871,34224470,63541,8247915,331449281,95710873,11411059,21106546,1.00743E+12
UT,2020,2.02133E+11,829039,798016,472310,61784,0,3271616,789072,62000,101672,8709000000
VA,2020,5.56993E+11,2273099,1567763,251927,64531,314722,8631393,821769,170475,293929,25577000000
VT,2020,34019000000,125702,83952,0,52900,0,643077,37481,39850,74962,2325000000
WA,2020,6.12969E+11,1779399,1037461,0,79552,98437,7705281,969677,884943,1732874,19932000000
WI,2020,3.40591E+11,1708131,1315167,0,57789,102032,5893718,302978,183122,335416,18496000000
WV,2020,76548000000,803921,985400,1856826,42676,0,1793716,5020189,48051,82881,6729000000
WY,2020,36330000000,504390,697108,4329617,62980,0,576851,5884410,68452,129754,3869000000
