state_code,year,All Industry Total - Dollars,Consumption - Billion Btu,Fossil Fuel Consumption - Billion Btu,Fossil Fuel Production - Billion Btu,GDP per Capita - Dollars,Nuclear Consumption - Billion Btu,Population - Individual Person,Production - Billion Btu,Renewable Consumption - Billion Btu,Renewable Production - Billion Btu,Total Expenditure - Dollars
LA,1980,63926000000,3908929,3724254,1240073,15199,0,4205900,4403760,64707,129414,12976000000
MA,1980,69684000000,1246693,1102769,0,12146,35255,5737037,107750,72495,144990,8220000000
MD,1980,47522000000,1156510,931610,89500,11269,119409,4216975,254802,45823,91646,6437000000
ME,1980,10263000000,381550,203510,0,9125,48040,1124660,169165,121124,242248,1787000000
MI,1980,1.04135E+11,2824417,2540336,196086,11243,173339,9262078,661725,103039,206078,14050000000
MN,1980,50219000000,1224226,1025710,0,12321,109374,4075970,164168,54794,109588,6066000000
MO,1980,52420000000,1422627,1414947,109425,10662,0,4916686,140305,30880,61761,7435000000
MS,1980,21353000000,833876,728518,208481,8471,0,2520638,427539,38097,76194,3813000000
MT,1980,8925000000,360216,285363,707138,11345,0,786690,876249,114608,229216,1410000000
NC,1980,58791000000,1667382,1438732,0,9995,62997,5881766,198907,135910,271820,8537000000
ND,1980,7645000000,222373,313992,457673,11713,0,652717,538864,28555,57110,1247000000
NE,1980,18294000000,507068,442915,36192,11654,63082,1569825,121789,19778,39556,2456000000
NH,1980,9263000000,208260,171758,0,10062,0,920610,32382,32382,64764,1308000000
NJ,1980,88334000000,2042226,1659348,0,11994,83192,7364823,131576,48383,96766,12697000000
NM,1980,15731000000,480615,635566,781950,12074,0,1302894,2112002,6223,12445,2208000000
NV,1980,11633000000,291313,302359,5104,14532,0,800493,32507,27403,54806,1659000000
NY,1980,2.35746E+11,3863274,3202012,4779,13427,210259,17558072,635743,404671,809342,23122000000
OH,1980,1.21228E+11,3950811,3670319,956243,11227,23115,10797630,1227811,107374,214748,18125000000
OK,1980,37608000000,1213993,1287827,998769,12431,0,3025290,3099268,24855,49710,5010000000
OR,1980,30001000000,945029,428758,0,11394,58844,2633105,459978,401129,802258,3903000000
PA,1980,1.27181E+11,3996299,3862015,2385875,10720,131893,11863895,2754247,136826,273652,18573000000
RI,1980,9626000000,185615,130914,0,10163,0,947154,7287,7287,14574,1246000000
SC,1980,27607000000,997901,743921,0,8843,189846,3121820,261030,71184,142368,4726000000
SD,1980,6760000000,190687,162458,4437,9786,0,690768,69403,63775,127550,1131000000
TN,1980,44972000000,1724916,1311218,243339,9795,5660,4591120,410631,160372,320743,7521000000
TX,1980,2.03073E+11,9385532,9412186,6000360,14272,0,14229191,13294899,65819,131638,37956000000
US,1980,2.71393E+12,78047519,69847449,36878519,11980,2739169,226545805,67261307,5424534,10849068,3.7435E+11
